t lat lon alt heading roll pitch
126.74 33.7787814 -84.4025915 286.4 2.9445 0.036813 0.0095715
127.35 33.7787802 -84.4025808 286.4 3.094 0.018023 0.02228
127.75 33.7787796 -84.4025748 286.4 -3.0889 0.1347 0.038796
128.35 33.7787788 -84.4025714 286.4 -2.9511 0.22994 0.010366
130.93 33.7787783 -84.4025718 286.5 -2.8413 0.12146 0.026709
130.93 33.7787779 -84.4025718 286.8 -2.7648 0.034521 0.016758
130.93 33.778778 -84.4025717 286.8 -2.7651 0.054517 -0.0073782
131.36 33.7787779 -84.4025709 286.8 -2.7679 -0.015803 0.00049979
131.75 33.7787774 -84.4025684 286.6 -2.762 -0.084659 0.0035077
132.36 33.7787759 -84.4025616 286.2 -2.7428 0.032517 -0.01508
132.76 33.778775 -84.4025578 286 -2.7259 0.13566 0.00022907
133.36 33.7787745 -84.4025562 286.1 -2.7032 0.17914 -0.023597
135.8 33.7787743 -84.4025561 286.4 -2.6731 0.093935 -0.010701
135.8 33.7787742 -84.4025559 286.4 -2.6719 0.086525 -0.0028341
136.37 33.7787734 -84.4025544 286.5 -2.6713 -0.034392 0.00096752
136.77 33.778772 -84.4025511 286.6 -2.6675 -0.0609 -0.021024
137.38 33.7787692 -84.4025449 286.7 -2.6565 0.059553 -0.028935
137.77 33.7787677 -84.402542 286.7 -2.6497 0.15348 -0.021042
138.37 33.7787667 -84.4025411 286.7 -2.6373 0.18883 -0.014355
140.69 33.7787661 -84.4025417 286.9 -2.6227 0.075739 -0.010317
140.78 33.7787662 -84.4025416 286.9 -2.627 0.075936 -0.02766
141.38 33.7787662 -84.4025395 286.9 -2.6607 -0.054549 0.061027
141.78 33.7787663 -84.4025355 287 -2.7323 -0.031979 0.059309
142.38 33.7787669 -84.4025293 287 -2.896 0.11312 -0.0147
142.79 33.7787668 -84.4025272 287 -3.0059 0.20113 -0.020415
145.42 33.778766 -84.4025271 287.1 3.0656 0.077441 0.028622
145.42 33.7787659 -84.4025273 286.9 3.0681 0.064949 0.064048
145.79 33.7787658 -84.402527 286.9 3.0667 -0.0078254 0.04454
146.4 33.7787655 -84.4025221 286.8 3.1163 -0.14888 0.050803
146.79 33.7787654 -84.4025155 286.8 -3.1069 -0.10394 0.050144
147.4 33.7787648 -84.402505 286.8 -3.0019 0.04317 0.048671
147.8 33.7787642 -84.4024981 286.8 -2.9302 0.035522 0.055581
148.4 33.7787632 -84.40249 286.8 -2.8251 0.19827 0.032537
148.8 33.778763 -84.4024886 286.7 -2.7559 0.20731 0.02719
151.43 33.7787624 -84.4024888 286.8 -2.6221 0.089288 0.017974
151.43 33.7787628 -84.4024888 286.9 -2.6221 0.080927 0.0052536
151.81 33.7787627 -84.4024884 286.8 -2.6192 0.0023367 -0.020477
152.42 33.7787608 -84.4024852 286.7 -2.5497 -0.093574 -0.086151
152.81 33.7787578 -84.4024811 286.7 -2.4749 -0.019019 -0.070949
153.42 33.7787522 -84.4024756 286.6 -2.3396 0.069499 -0.043505
153.82 33.7787494 -84.4024735 286.5 -2.2506 0.17774 -0.033937
154.42 33.7787482 -84.4024732 286.5 -2.1136 0.16362 -0.056556
156.77 33.7787482 -84.4024752 286.1 -1.992 0.023234 0.035882
156.82 33.7787485 -84.4024752 286.1 -1.9864 0.039108 0.00050011
157.42 33.7787474 -84.4024749 286.2 -1.9616 -0.12306 -0.072786
157.83 33.7787444 -84.402474 286 -1.903 -0.18081 -0.10119
158.43 33.7787375 -84.4024732 285.8 -1.7796 0.00053215 -0.057657
158.83 33.7787329 -84.4024734 285.6 -1.6899 0.0018766 -0.031344
159.44 33.7787292 -84.4024732 285.6 -1.5457 0.15873 -0.018101
159.84 33.7787291 -84.4024735 285.6 -1.4489 0.14325 -0.04398
160.44 33.7787312 -84.4024693 285.5 -1.3905 0.1547 0.27504
160.84 33.7787325 -84.4024613 285.5 -1.4054 0.042228 0.27492
161.45 33.7787334 -84.4024431 285.5 -1.4101 0.059876 0.22694
161.85 33.7787337 -84.4024278 285.5 -1.4082 0.008121 0.24521
162.45 33.7787332 -84.4024037 285.6 -1.3873 0.0035416 -0.14676
162.85 33.7787337 -84.402395 285.7 -1.0881 -0.088644 -0.31243
163.45 33.7787344 -84.4023868 285.6 -0.67151 0.10457 0.20063
163.85 33.7787331 -84.4023791 285.6 -0.65851 0.043833 0.1934
164.46 33.7787283 -84.402367 285.3 -0.65867 -0.063491 0.19876
164.86 33.7787232 -84.4023597 285.1 -0.65688 -0.049937 -0.1981
165.46 33.778723 -84.4023578 284.7 -0.64914 -0.071003 -0.14559
165.86 33.7787231 -84.4023579 284.4 -0.666 0.044801 0.057075
166.47 33.7787239 -84.4023574 284.3 -0.67164 -0.025576 0.035919
166.87 33.7787238 -84.402357 284.1 -0.6564 -0.034419 0.0057364
167.47 33.7787236 -84.402356 284 -0.64686 0.031724 -0.022663
167.87 33.7787287 -84.4023528 284 -0.54762 0.019279 -0.0012192
168.48 33.7787278 -84.4023522 284.2 -0.56528 0.016118 -0.01875
168.87 33.778727 -84.4023515 284.4 -0.578 0.016039 -0.019134
169.47 33.778726 -84.402351 284.6 -0.59374 0.015752 -0.019141
