t lat lon alt heading roll pitch
148.07 33.933523 -84.5392365 341.9 2.7676 -0.020947 -0.069121
148.47 33.9335211 -84.5392256 342 2.8169 0.0033983 -0.082348
149.07 33.9335185 -84.5392098 342 2.8849 0.032917 -0.046011
149.48 33.9335168 -84.5392 342 2.9333 0.080086 -0.0018126
150.07 33.9335147 -84.539191 341.9 3.0064 0.21615 0.027772
150.48 33.9335138 -84.5391897 341.8 3.0585 0.21466 0.018025
154.11 33.9335124 -84.5391891 342.2 -3.1369 -0.0055805 -0.014939
154.11 33.9335124 -84.539189 342.5 -3.1341 -0.015451 -0.02509
154.49 33.9335132 -84.5391916 342.6 3.14 0.15985 0.068636
157.93 33.9335145 -84.5391934 343 3.0184 -0.0050845 -0.060763
158.1 33.9335145 -84.5391931 343.1 3.0222 -0.053216 -0.044879
158.5 33.9335147 -84.5391913 343.2 3.0009 -0.16717 -0.031815
159.11 33.9335164 -84.5391839 343.4 2.9085 -0.20057 -0.054422
159.51 33.9335181 -84.5391758 343.5 2.8221 -0.059859 -0.056126
160.11 33.9335204 -84.5391662 343.5 2.6926 -0.021434 -0.075307
160.51 33.9335211 -84.5391595 343.4 2.609 -6.2547e-05 -0.047873
161.12 33.9335219 -84.5391539 343.4 2.479 0.13875 0.015679
161.52 33.9335211 -84.5391529 343.4 2.3961 0.10515 0.032462
164.92 33.9335206 -84.539152 343.1 2.3532 0.056668 0.018697
164.92 33.9335207 -84.5391519 343.1 2.2851 0.030791 -0.040711
165.13 33.9335209 -84.5391519 343 2.2876 -0.012375 -0.054928
165.53 33.9335222 -84.5391502 343 2.3002 -0.14695 -0.063997
166.14 33.9335272 -84.5391439 343 2.3508 -0.23275 -0.059333
166.54 33.9335328 -84.5391364 343 2.3888 -0.18164 -0.051206
167.14 33.9335417 -84.5391249 343 2.447 -0.032469 -0.044007
167.54 33.9335475 -84.5391178 343.1 2.4916 -0.039343 -0.060923
168.15 33.9335559 -84.5391068 343.2 2.5534 -0.047323 -0.062594
168.54 33.9335613 -84.5391005 343.2 2.6002 0.014457 -0.079724
169.15 33.9335662 -84.5390937 343.3 2.6545 0.13308 -0.089438
169.55 33.9335674 -84.5390932 343.4 2.6928 0.14739 -0.11295
173.23 33.9335671 -84.5390926 343.1 2.7878 0.011488 -0.044787
173.23 33.9335673 -84.5390927 343 2.787 -0.0081374 -0.030435
173.56 33.9335672 -84.5390923 343 2.7995 -0.10955 -0.099188
174.17 33.9335663 -84.5390865 343 2.8759 -0.23409 -0.16769
174.57 33.9335652 -84.5390786 343.1 2.9542 -0.24363 -0.16645
175.18 33.9335628 -84.5390609 343.2 3.0664 -0.057783 -0.10373
175.58 33.9335608 -84.5390503 343.4 -3.1295 -0.022456 -0.096723
176.31 33.9335568 -84.5390351 343.5 -2.9937 -0.091088 -0.056403
176.58 33.9335541 -84.539025 343.6 -2.9066 -0.082442 -0.038515
177.18 33.9335498 -84.5390098 343.6 -2.773 -0.0058639 -0.0020324
177.58 33.9335477 -84.5390035 343.5 -2.6966 0.14712 -0.0042859
178.19 33.9335464 -84.5389998 342.9 -2.5635 0.10925 0.01887
181.83 33.9335466 -84.5389999 342.6 -2.4735 0.032112 -0.040298
181.83 33.9335478 -84.5390002 344 -2.3914 -0.041237 -0.013966
181.83 33.933548 -84.5390009 344 -2.3844 -0.042328 0.0078757
182.19 33.9335478 -84.5390012 344.1 -2.382 -0.12245 -0.081488
182.59 33.9335455 -84.5390005 344 -2.3459 -0.23416 -0.15585
183.2 33.9335369 -84.5389976 344.1 -2.2829 -0.23955 -0.16832
183.6 33.9335286 -84.5389956 344.3 -2.2406 -0.13139 -0.11848
184.2 33.9335158 -84.5389918 344.5 -2.1738 -0.064223 -0.080235
184.6 33.9335075 -84.5389901 344.5 -2.1227 -0.042963 -0.069771
185.2 33.9334954 -84.5389886 344.4 -2.0468 -0.028185 -0.051296
185.6 33.9334885 -84.5389883 344.3 -2.0032 -0.011055 0.012923
186.2 33.9334816 -84.538988 343.9 -1.9256 0.14362 0.023952
186.6 33.9334807 -84.5389884 343.8 -1.8803 0.12534 0.0062999
190.18 33.9334821 -84.5389908 344.2 -1.7943 -0.029245 -0.062167
190.21 33.9334825 -84.5389911 344 -1.7911 -0.03195 -0.050995
190.61 33.9334816 -84.5389911 344 -1.7842 -0.11803 -0.083693
191.22 33.933476 -84.5389912 343.8 -1.7383 -0.23924 -0.11264
191.62 33.9334689 -84.5389917 343.7 -1.7007 -0.23048 -0.10149
192.22 33.9334567 -84.5389922 343.4 -1.6446 -0.09184 -0.066832
192.62 33.9334486 -84.5389929 343.2 -1.5989 -0.10784 -0.073559
193.23 33.9334368 -84.5389939 342.8 -1.537 -0.1315 -0.060121
193.63 33.9334285 -84.5389943 342.6 -1.4942 -0.12493 -0.06571
194.23 33.9334167 -84.5389954 342.3 -1.4387 0.079714 -0.048012
194.63 33.9334126 -84.5389963 342 -1.3928 0.19421 -0.039062
195.23 33.9334115 -84.5389974 341.7 -1.3289 0.047117 0.037919
198.59 33.9334136 -84.5389984 342.2 -1.2675 -0.17471 0.0023622
198.65 33.9334142 -84.5389984 342.2 -1.2627 -0.16581 -0.004285
199.25 33.9334128 -84.5389988 342.1 -1.2684 -0.38386 -0.011682
199.65 33.9334092 -84.5389995 342.2 -1.2797 -0.41485 -0.010883
200.25 33.9333987 -84.539002 342 -1.3036 -0.28688 -0.039331
200.65 33.933391 -84.5390038 341.9 -1.3245 -0.17043 -0.039629
201.26 33.9333804 -84.5390064 341.8 -1.3581 -0.16214 -0.031889
201.66 33.9333737 -84.5390077 341.8 -1.38 -0.14588 -0.028703
202.26 33.933367 -84.539009 341.7 -1.4136 0.048559 -0.052782
202.66 33.9333657 -84.5390092 341.6 -1.4369 0.07603 -0.053669
206.29 33.9333665 -84.5390089 341.7 -1.4734 -0.08913 -0.029785
206.29 33.9333668 -84.5390088 341.6 -1.4745 -0.090136 -0.030716
206.67 33.9333676 -84.5390083 341.6 -1.4864 0.017077 -0.0018272
207.27 33.9333723 -84.5390061 341.6 -1.5723 0.087823 -0.030315
207.67 33.9333768 -84.5390041 341.6 -1.6762 -0.044046 -0.058267
208.27 33.9333825 -84.5390012 341.8 -1.8337 -0.064985 -0.11652
208.67 33.933384 -84.5390001 341.8 -1.9437 -0.1262 -0.17012
212.4 33.9333855 -84.5389994 342.2 -2.1078 -0.068905 -0.11166
212.4 33.9333857 -84.5389996 342.3 -2.1907 -0.05921 -0.063559
212.68 33.9333853 -84.5389993 342.4 -2.1848 -0.11561 -0.090371
213.28 33.9333812 -84.5389978 342.5 -2.1547 -0.26115 -0.15119
213.68 33.9333755 -84.5389955 342.5 -2.1309 -0.24177 -0.19357
214.28 33.9333633 -84.5389918 342.5 -2.1157 -0.043255 -0.12314
214.71 33.9333558 -84.5389901 342.5 -2.0906 -0.040509 -0.093582
215.29 33.9333449 -84.5389878 342.6 -2.0513 -0.050138 -0.092505
215.69 33.933338 -84.5389862 342.6 -2.0311 -0.025061 -0.064719
216.29 33.9333315 -84.5389844 342.5 -2.0105 0.17022 -0.092467
216.69 33.9333302 -84.5389848 342.4 -1.9777 0.13289 -0.044411
220.28 33.9333308 -84.5389852 341.9 -1.9158 -0.073987 -0.10522
220.3 33.9333308 -84.5389853 341.9 -1.9185 -0.095488 -0.064573
220.7 33.93333 -84.5389852 341.9 -1.901 -0.21668 -0.12992
221.31 33.9333248 -84.538985 341.8 -1.819 -0.32529 -0.15498
221.7 33.9333176 -84.5389847 341.7 -1.7562 -0.29414 -0.1349
222.31 33.9333057 -84.5389847 341.7 -1.6519 -0.14607 -0.06846
222.71 33.9332982 -84.538985 341.7 -1.5781 -0.13738 -0.062542
223.31 33.933288 -84.5389856 341.8 -1.4656 -0.17235 -0.017354
223.71 33.9332814 -84.5389863 341.8 -1.3928 -0.068736 -0.0066906
224.32 33.9332761 -84.5389867 342.2 -1.2836 0.079833 -0.012141
224.72 33.9332754 -84.5389875 342.4 -1.2135 0.022465 0.027007
228.09 33.9332742 -84.5389874 342.1 -1.1759 -0.018708 0.036094
228.09 33.9332741 -84.5389876 342 -1.1144 -0.054221 0.10363
228.33 33.9332737 -84.5389878 342 -1.1162 -0.11249 0.063601
228.73 33.9332727 -84.5389895 342 -1.0891 -0.21393 -0.017832
229.34 33.9332683 -84.538998 341.8 -1.0017 -0.2288 -0.028896
229.73 33.9332648 -84.5390064 341.7 -0.93204 -0.092915 0.048416
230.34 33.9332601 -84.5390179 341.6 -0.82309 -0.052228 0.10913
230.74 33.9332567 -84.5390253 341.4 -0.74338 -0.050491 0.11353
231.34 33.933252 -84.5390346 341.4 -0.62469 0.050721 0.099074
231.74 33.93325 -84.5390381 341.4 -0.54348 0.12415 0.090179
232.35 33.9332485 -84.5390391 341.5 -0.43016 0.1616 0.037012
235.73 33.9332486 -84.5390383 340.6 -0.33597 0.0010851 0.099343
235.75 33.9332478 -84.5390382 340.2 -0.33576 0.018251 0.08177
236.76 33.9332469 -84.539039 339.2 -0.33676 0.034621 0.095486
237.36 33.9332466 -84.5390391 338.6 -0.33218 0.031861 0.083932
237.76 33.9332467 -84.5390389 338.1 -0.33056 0.033023 0.079319
238.37 33.9332455 -84.5390388 337.5 -0.32886 0.033969 0.030701
238.77 33.9332448 -84.5390394 337.2 -0.33149 0.060455 0.036871
239.37 33.9332444 -84.5390398 336.4 -0.33437 0.036971 0.065892
239.77 33.9332447 -84.5390402 335.9 -0.33254 0.040094 0.076834
240.37 33.9332449 -84.5390412 335.1 -0.33217 0.06926 0.089858
240.77 33.9332456 -84.5390415 334.6 -0.3464 0.0096592 -0.052073
241.38 33.9332443 -84.5390385 334.7 -0.35332 0.0093971 -0.045878
241.77 33.9332442 -84.539038 334.8 -0.3594 0.0086448 -0.044025
242.37 33.9332438 -84.5390372 334.8 -0.36927 0.0081605 -0.043679
242.77 33.9332433 -84.5390362 334.8 -0.37422 0.0083919 -0.043831
243.38 33.9332423 -84.5390348 334.7 -0.38092 0.0081169 -0.043862
